fipscode,state,county,Poor_or_fair_health,Median_household_income,Adult_obesity,adult_smoking_grp,adult_smoking,insufficent_sleep_2023,insufficent_sleep_2018,county_ranked
01001,AL,Autauga County,16.900000000000002,66.444,37.3,Low,18.3,37.5,NA,1
01003,AL,Baldwin County,14.899999999999999,65.658,32.6,Low,16.900000000000002,35.099999999999994,NA,1
01005,AL,Barbour County,27.500000000000004,38.649,46.400000000000006,High,25.900000000000002,43.9,NA,1
01007,AL,Bibb County,21.6,48.454,38.4,High,22.8,40,NA,1
01009,AL,Blount County,18.4,56.894,32.7,High,21.8,37.3,NA,1
01011,AL,Bullock County,29.7,32.027,48.3,High,25.5,46,NA,1
01013,AL,Butler County,22.7,39.442,45.4,High,22.3,40.9,NA,1
01015,AL,Calhoun County,19.6,48.166,37.4,High,21,38.1,NA,1
01017,AL,Chambers County,21.5,45.447,41.199999999999996,High,21.7,43.4,NA,1
01019,AL,Cherokee County,19.3,46.365,41.3,High,22.7,38.2,NA,1
01021,AL,Chilton County,20.4,55.142,37.5,High,22.1,40.8,NA,1
01023,AL,Choctaw County,22.5,40.601,41.4,High,22,43.1,NA,1
01025,AL,Clarke County,24,45.447,40.6,High,23.3,40.9,NA,1
01027,AL,Clay County,20.7,47.036,38.6,High,23.3,38.7,NA,1
01029,AL,Cleburne County,19.3,49.769,38.3,High,22.1,36.9,NA,1
01031,AL,Coffee County,19.1,55.052,43.6,Medium,19.6,39.900000000000006,NA,1
01033,AL,Colbert County,18.6,53.341,37,Medium,20.8,37.2,NA,1
01035,AL,Conecuh County,24.2,35.621,42.8,High,23.9,43.3,NA,1
01037,AL,Coosa County,20.4,45.954,41.5,High,21.7,41.5,NA,1
01039,AL,Covington County,19.7,44.188,44.800000000000004,High,21.4,37.5,NA,1
01041,AL,Crenshaw County,21.099999999999998,38.037,40.400000000000006,High,22.2,40.699999999999996,NA,1
01043,AL,Cullman County,17.9,55.036,38,High,20.9,35.8,NA,1
01045,AL,Dale County,20.4,50.086,39.2,Medium,20.5,37.5,NA,1
01047,AL,Dallas County,27,33.159,47.5,High,23.1,44.6,NA,1
01049,AL,DeKalb County,22.5,45.062,42.1,High,23,37,NA,1
01051,AL,Elmore County,16.6,63.147,37.1,Low,18.6,37.8,NA,1
01053,AL,Escambia County,24.7,40.506,43.6,High,24.5,42.6,NA,1
01055,AL,Etowah County,19.1,46.308,41.099999999999994,Medium,20.599999999999998,39.800000000000004,NA,1
01057,AL,Fayette County,21.4,46.122,39.4,High,23.7,41,NA,1
01059,AL,Franklin County,22,45.44,38.4,High,22.6,37.5,NA,1
01061,AL,Geneva County,22,43.206,38,High,23.9,39.300000000000004,NA,1
01063,AL,Greene County,31.7,30.225,49.1,High,26.6,48.4,NA,1
01065,AL,Hale County,26,41.995,47.3,High,23.7,44.800000000000004,NA,1
01067,AL,Henry County,20.1,56.389,42.1,High,21,39.300000000000004,NA,1
01069,AL,Houston County,19.8,48.701,39.1,Medium,20.5,40.400000000000006,NA,1
01071,AL,Jackson County,20.4,46.998,40.1,High,22.2,40.2,NA,1
01073,AL,Jefferson County,17.299999999999997,55.21,38.9,Low,16.1,38,NA,1
01075,AL,Lamar County,19.8,44.265,39.2,High,22.2,39.6,NA,1
01077,AL,Lauderdale County,17.1,52.222,39.4,Medium,19,40.300000000000004,NA,1
01079,AL,Lawrence County,20.8,55.555,38.6,High,22.8,38.7,NA,1
01081,AL,Lee County,17.4,54.188,36.8,Low,16.7,36.3,NA,1
01083,AL,Limestone County,17,69.207,34.9,Low,18.5,38.800000000000004,NA,1
01085,AL,Lowndes County,27.900000000000002,36.993,48.8,High,24,46.300000000000004,NA,1
01087,AL,Macon County,25.5,35.354,47.3,High,21.3,46,NA,1
01089,AL,Madison County,14.899999999999999,78.386,35.3,Low,15.7,38.7,NA,1
01091,AL,Marengo County,23.1,42.048,43.5,High,21,43.6,NA,1
01093,AL,Marion County,20.3,44.636,37.9,High,22.900000000000002,37.2,NA,1
01095,AL,Marshall County,19.3,50.858,39.7,High,21,37.9,NA,1
01097,AL,Mobile County,19.8,49.848,39.4,Medium,20.4,40.5,NA,1
01099,AL,Monroe County,24.099999999999998,40.997,43.9,High,23.3,40.8,NA,1
01101,AL,Montgomery County,20.3,50.645,49,Low,17.2,42.4,NA,1
01103,AL,Morgan County,18.6,56.34,40.1,Medium,20.7,38.3,NA,1
01105,AL,Perry County,32.1,31.522,50.9,High,27.3,46.5,NA,1
01107,AL,Pickens County,24.099999999999998,43.926,42.3,High,23.400000000000002,42,NA,1
01109,AL,Pike County,20.4,38.945,38.7,Medium,20,39.4,NA,1
01111,AL,Randolph County,19.8,45.889,42.8,High,21.099999999999998,39.4,NA,1
01113,AL,Russell County,22.2,44.849,41.9,High,21.5,43.6,NA,1
01115,AL,St. Clair County,16.8,63.015,38.3,Medium,20.4,38.6,NA,1
01117,AL,Shelby County,12.6,85.457,33.1,Low,13.700000000000001,33.800000000000004,NA,1
01119,AL,Sumter County,26.900000000000002,29.49,47.699999999999996,High,22.7,46.9,NA,1
01121,AL,Talladega County,22.1,47.331,41.9,High,22.400000000000002,43.2,NA,1
01123,AL,Tallapoosa County,20.8,47.444,40.300000000000004,High,21.5,38.7,NA,1
01125,AL,Tuscaloosa County,17.8,56.274,41.6,Low,18.2,40.1,NA,1
01127,AL,Walker County,20.5,46.343,36.4,High,22.8,40,NA,1
01129,AL,Washington County,21.6,49.795,42.699999999999996,High,22.7,42,NA,1
01131,AL,Wilcox County,29.2,30.071,51.300000000000004,High,25.2,46.9,NA,1
01133,AL,Winston County,21.2,47.176,40.1,High,23.9,38.2,NA,1
02016,AK,Aleutians West Census Area,12.4,86.05,29.5,Low,15.6,33.4,NA,1
02020,AK,Anchorage Borough,11.3,86.152,28.499999999999996,Low,15.6,30.9,NA,1
02050,AK,Bethel Census Area,25.1,54.849,37.5,High,33.7,37,NA,1
02070,AK,Dillingham Census Area,20.599999999999998,58.389,38.800000000000004,High,28.299999999999997,31.900000000000002,NA,1
02090,AK,Fairbanks North Star Borough,11.899999999999999,76.754,31.2,Low,15.9,32.9,NA,1
02100,AK,Haines Borough,12.2,63.155,31.3,Low,18.099999999999998,32,NA,1
02105,AK,Hoonah-Angoon Census Area,14.799999999999999,56.555,35.8,High,21.8,33.300000000000004,NA,1
02110,AK,Juneau Borough,10.100000000000001,89.922,27.200000000000003,Low,14.7,28.499999999999996,NA,1
02122,AK,Kenai Peninsula Borough,12.3,71.111,31.8,Medium,19,33.5,NA,1
02130,AK,Ketchikan Gateway Borough,12.2,73.26,34.1,Low,17.1,30.8,NA,1
02150,AK,Kodiak Island Borough,11.200000000000001,80.863,30,Low,16.1,32.1,NA,1
02158,AK,Kusilvak Census Area,33.4,38.203,43,High,40.5,39.800000000000004,NA,1
02164,AK,Lake and Peninsula Borough,18.099999999999998,51.205,36.8,High,24.9,34.599999999999994,NA,1
02170,AK,Matanuska-Susitna Borough,12.2,80.164,34,Low,18.6,32.5,NA,1
02180,AK,Nome Census Area,22.2,65.578,34.699999999999996,High,30,35.3,NA,1
02185,AK,North Slope Borough,15.5,95.041,37.7,High,23.7,32.300000000000004,NA,1
02188,AK,Northwest Arctic Borough,22.7,67.586,41.9,High,31.2,35.099999999999994,NA,1
02195,AK,Petersburg Census Area,11.899999999999999,71.878,31.3,Low,17.7,30.9,NA,1
02198,AK,Prince of Wales-Hyder Census Area,17.299999999999997,56.226,34.2,High,24.5,33.5,NA,1
02220,AK,Sitka Borough,11,78.248,31.2,Low,15.5,28.9,NA,1
02240,AK,Southeast Fairbanks Census Area,12.7,68.347,32.7,Low,18.7,31.8,NA,1
02261,AK,Valdez-Cordova Census Area,NA,NA,NA,NA,NA,NA,NA,1
02275,AK,Wrangell City,13.600000000000001,64.732,33.1,Medium,20.5,31.2,NA,1
02290,AK,Yukon-Koyukuk Census Area,20.9,44.934,36.8,High,29.4,35.8,NA,1
04001,AZ,Apache County,26,41.002,36.1,High,26.200000000000003,38,NA,1
04003,AZ,Cochise County,15.8,55.748,31,Low,17.5,34.699999999999996,NA,1
04005,AZ,Coconino County,14.7,63.829,27.900000000000002,Low,17.8,29.9,NA,1
04007,AZ,Gila County,17.9,52.665,32.300000000000004,High,23.200000000000003,37.1,NA,1
04009,AZ,Graham County,18,52.644,33.2,Medium,19.400000000000002,34.599999999999994,NA,1
04011,AZ,Greenlee County,15.8,71.669,32.6,Low,16.400000000000002,33.6,NA,1
04012,AZ,La Paz County,20.5,44.33,35.8,High,21.3,35.4,NA,1
04013,AZ,Maricopa County,13.8,76.23,30.599999999999998,Low,14.6,32.2,NA,1
04015,AZ,Mohave County,16.7,48.169,35.699999999999996,High,21,37.6,NA,1
04017,AZ,Navajo County,20.9,49.057,34.4,High,23.599999999999998,39,NA,1
04019,AZ,Pima County,14.7,60.604,29.299999999999997,Low,15.8,34,NA,1
04021,AZ,Pinal County,15.6,70.835,37,Low,18.7,37,NA,1
04023,AZ,Santa Cruz County,21.099999999999998,49.216,34.8,Low,15,32.2,NA,1
04025,AZ,Yavapai County,13.3,57.676,27.800000000000004,Low,17.4,29.599999999999998,NA,1
04027,AZ,Yuma County,21.099999999999998,55.991,40.5,Low,16.400000000000002,36.6,NA,1
05001,AR,Arkansas County,19.8,50.928,38.2,High,22.400000000000002,35.6,NA,1
05003,AR,Ashley County,22.8,44.03,39.6,High,25.1,36.4,NA,1
05005,AR,Baxter County,17,45.116,33.4,High,22.1,32.5,NA,1
05007,AR,Benton County,14.7,78.974,29.5,Low,16.2,31.1,NA,1
05009,AR,Boone County,17.299999999999997,48.7,37.4,High,22.1,35.8,NA,1
05011,AR,Bradley County,22.5,40.454,42.8,High,22.3,37.7,NA,1
05013,AR,Calhoun County,19.6,49.977,37.3,High,22.8,35.9,NA,1
05015,AR,Carroll County,18.3,49.225,35.199999999999996,Medium,20.5,30.099999999999998,NA,1
05017,AR,Chicot County,28.499999999999996,34.857,47.5,High,26.8,40.5,NA,1
